name,section,description
Section A,Morning,Morning session classroom
Section B,Afternoon,Afternoon session classroom
Section C,Evening,Evening session classroom
Section D,Online,Online virtual classroom
Lab Section 1,Lab,Hands-on laboratory session
Lab Section 2,Lab,Practical experiments and exercises
Tutorial Group 1,Tutorial,Small group discussion and problem solving
Tutorial Group 2,Tutorial,Guided practice sessions
Seminar A,Seminar,Research presentations and discussions
Seminar B,Seminar,Advanced topic discussions
Workshop 1,Workshop,Project-based learning
Workshop 2,Workshop,Collaborative activities
Study Group A,Study,Peer-assisted learning
Study Group B,Study,Group study sessions
Office Hours,Support,Faculty consultation hours
